Round:,0
Attended,14
Total covered,822
Unique covered,170

Round:,1
Attended,12
Total covered,639
Unique covered,149

Round:,2
Attended,12
Total covered,679
Unique covered,160

Round:,3
Attended,10
Total covered,520
Unique covered,138

Round:,4
Attended,11
Total covered,608
Unique covered,146

Round:,5
Attended,13
Total covered,733
Unique covered,155

Round:,6
Attended,13
Total covered,717
Unique covered,164

Round:,7
Attended,11
Total covered,630
Unique covered,159

Round:,8
Attended,15
Total covered,876
Unique covered,166

Round:,9
Attended,12
Total covered,699
Unique covered,160

Round:,10
Attended,14
Total covered,766
Unique covered,154

Round:,11
Attended,11
Total covered,646
Unique covered,155

Round:,12
Attended,10
Total covered,572
Unique covered,149

Round:,13
Attended,14
Total covered,815
Unique covered,164

Round:,14
Attended,10
Total covered,621
Unique covered,161

Round:,15
Attended,14
Total covered,857
Unique covered,174

Round:,16
Attended,11
Total covered,619
Unique covered,148

Round:,17
Attended,10
Total covered,550
Unique covered,146

Round:,18
Attended,12
Total covered,728
Unique covered,167

Round:,19
Attended,10
Total covered,574
Unique covered,141

Round:,20
Attended,12
Total covered,673
Unique covered,147

Round:,21
Attended,12
Total covered,688
Unique covered,161

Round:,22
Attended,12
Total covered,687
Unique covered,151

Round:,23
Attended,11
Total covered,616
Unique covered,140

Round:,24
Attended,12
Total covered,674
Unique covered,155

Round:,25
Attended,11
Total covered,671
Unique covered,159

Round:,26
Attended,11
Total covered,596
Unique covered,147

Round:,27
Attended,12
Total covered,589
Unique covered,157

Round:,28
Attended,8
Total covered,458
Unique covered,133

Round:,29
Attended,13
Total covered,707
Unique covered,156

Round:,30
Attended,13
Total covered,772
Unique covered,161

Round:,31
Attended,9
Total covered,549
Unique covered,149

Round:,32
Attended,12
Total covered,679
Unique covered,149

Round:,33
Attended,14
Total covered,779
Unique covered,175

Round:,34
Attended,15
Total covered,838
Unique covered,162

Round:,35
Attended,14
Total covered,828
Unique covered,159

Round:,36
Attended,9
Total covered,475
Unique covered,136

Round:,37
Attended,13
Total covered,707
Unique covered,161

Round:,38
Attended,11
Total covered,630
Unique covered,157

Round:,39
Attended,13
Total covered,771
Unique covered,166

Round:,40
Attended,13
Total covered,771
Unique covered,165

Round:,41
Attended,12
Total covered,695
Unique covered,154

Round:,42
Attended,8
Total covered,453
Unique covered,145

Round:,43
Attended,11
Total covered,676
Unique covered,157

Round:,44
Attended,8
Total covered,442
Unique covered,137

Round:,45
Attended,13
Total covered,693
Unique covered,158

Round:,46
Attended,13
Total covered,690
Unique covered,154

Round:,47
Attended,13
Total covered,780
Unique covered,161

Round:,48
Attended,14
Total covered,758
Unique covered,161

Round:,49
Attended,9
Total covered,487
Unique covered,143

Round:,50
Attended,13
Total covered,740
Unique covered,162

Round:,51
Attended,11
Total covered,591
Unique covered,150

Round:,52
Attended,13
Total covered,766
Unique covered,160

Round:,53
Attended,15
Total covered,915
Unique covered,175

Round:,54
Attended,11
Total covered,606
Unique covered,152

Round:,55
Attended,14
Total covered,810
Unique covered,164

Round:,56
Attended,11
Total covered,609
Unique covered,150

Round:,57
Attended,12
Total covered,623
Unique covered,142

Round:,58
Attended,13
Total covered,778
Unique covered,161

Round:,59
Attended,13
Total covered,762
Unique covered,163

Round:,60
Attended,12
Total covered,707
Unique covered,173

Round:,61
Attended,12
Total covered,672
Unique covered,163

Round:,62
Attended,8
Total covered,451
Unique covered,137

Round:,63
Attended,11
Total covered,564
Unique covered,147

Round:,64
Attended,8
Total covered,417
Unique covered,134

Round:,65
Attended,13
Total covered,765
Unique covered,164

Round:,66
Attended,13
Total covered,757
Unique covered,168

Round:,67
Attended,12
Total covered,710
Unique covered,165

Round:,68
Attended,13
Total covered,699
Unique covered,157

Round:,69
Attended,14
Total covered,766
Unique covered,163

Round:,70
Attended,10
Total covered,509
Unique covered,139

Round:,71
Attended,13
Total covered,735
Unique covered,162

Round:,72
Attended,11
Total covered,616
Unique covered,148

Round:,73
Attended,13
Total covered,731
Unique covered,166

Round:,74
Attended,12
Total covered,678
Unique covered,167

Round:,75
Attended,10
Total covered,592
Unique covered,154

Round:,76
Attended,10
Total covered,528
Unique covered,144

Round:,77
Attended,12
Total covered,668
Unique covered,158

Round:,78
Attended,15
Total covered,771
Unique covered,160

Round:,79
Attended,13
Total covered,748
Unique covered,162

Round:,80
Attended,10
Total covered,516
Unique covered,136

Round:,81
Attended,11
Total covered,572
Unique covered,151

Round:,82
Attended,12
Total covered,737
Unique covered,161

Round:,83
Attended,12
Total covered,662
Unique covered,150

Round:,84
Attended,8
Total covered,412
Unique covered,133

Round:,85
Attended,15
Total covered,874
Unique covered,176

Round:,86
Attended,12
Total covered,683
Unique covered,159

Round:,87
Attended,13
Total covered,756
Unique covered,165

Round:,88
Attended,11
Total covered,644
Unique covered,160

Round:,89
Attended,11
Total covered,587
Unique covered,155

Round:,90
Attended,13
Total covered,737
Unique covered,167

Round:,91
Attended,10
Total covered,519
Unique covered,141

Round:,92
Attended,13
Total covered,713
Unique covered,157

Round:,93
Attended,11
Total covered,625
Unique covered,152

Round:,94
Attended,13
Total covered,723
Unique covered,159

Round:,95
Attended,13
Total covered,779
Unique covered,168

Round:,96
Attended,13
Total covered,765
Unique covered,159

Round:,97
Attended,11
Total covered,498
Unique covered,133

Round:,98
Attended,13
Total covered,697
Unique covered,162

Round:,99
Attended,9
Total covered,556
Unique covered,156

